epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.023,1.59998,1.95859,1.68431,0.88019,0.66667,0.78985,0.35191,1.67187,2.11815,1.87072,0.00058,0.00058,0.00058
2,193.067,1.55069,1.55384,1.63559,0.16407,0.43254,0.13499,0.03318,2.75979,9.46432,4.087,0.00117987,0.00117987,0.00117987
3,274.964,1.59554,1.64296,1.73999,0.49449,0.62302,0.53233,0.19585,2.04027,4.29857,2.53559,0.00177923,0.00177923,0.00177923
4,357.834,1.66551,1.57339,1.71485,0.29832,0.26587,0.16303,0.03447,2.89986,3.41781,4.11745,0.00199805,0.00199805,0.00199805
5,441.417,1.63507,1.53184,1.70598,0.59331,0.57313,0.55409,0.18077,2.23877,3.96701,2.67041,0.00199653,0.00199653,0.00199653
6,526.561,1.61494,1.49365,1.67258,0.61793,0.70919,0.6688,0.27898,1.79221,1.93125,1.92048,0.00199458,0.00199458,0.00199458
7,634.425,1.6422,1.4695,1.70052,0.72627,0.75397,0.77389,0.32523,1.84267,1.51409,1.97497,0.00199219,0.00199219,0.00199219
8,730.889,1.65173,1.42408,1.68576,0.52112,0.5377,0.50114,0.19271,2.03658,2.23595,2.04374,0.00198938,0.00198938,0.00198938
9,818.048,1.59857,1.37395,1.66278,0.7434,0.75,0.76136,0.29566,1.95388,1.822,2.01534,0.00198614,0.00198614,0.00198614
10,904.687,1.56071,1.38445,1.64954,0.64287,0.61433,0.64375,0.22464,2.16447,2.04843,2.24244,0.00198246,0.00198246,0.00198246
11,992.101,1.55576,1.3654,1.63656,0.72958,0.6627,0.72818,0.35366,1.72945,1.32181,1.78627,0.00197837,0.00197837,0.00197837
12,1080.01,1.54995,1.33661,1.6107,0.67121,0.66071,0.70536,0.29091,1.88236,1.41233,1.90303,0.00197384,0.00197384,0.00197384
13,1166.19,1.54519,1.3096,1.61622,0.7685,0.76405,0.79636,0.31711,1.99942,1.28441,2.07819,0.0019689,0.0019689,0.0019689
14,1253.89,1.55624,1.31573,1.62246,0.68093,0.64787,0.66625,0.24507,2.16046,1.63902,2.34385,0.00196353,0.00196353,0.00196353
15,1341.33,1.51365,1.24008,1.58365,0.86644,0.86905,0.92436,0.4566,1.63214,1.0047,1.67538,0.00195775,0.00195775,0.00195775
16,1427.04,1.50045,1.23362,1.58542,0.89224,0.88714,0.93619,0.43927,1.76695,1.09618,1.76957,0.00195155,0.00195155,0.00195155
17,1512.38,1.49293,1.24406,1.56119,0.90561,0.89475,0.94291,0.46797,1.6544,1.09242,1.67197,0.00194493,0.00194493,0.00194493
18,1598.91,1.44158,1.17843,1.55001,0.88177,0.87303,0.91865,0.45873,1.61383,1.04526,1.69766,0.00193791,0.00193791,0.00193791
19,1688.32,1.51527,1.21277,1.59589,0.80907,0.83238,0.86514,0.39849,1.76045,1.15907,1.83985,0.00193048,0.00193048,0.00193048
20,1779.42,1.46534,1.20413,1.56083,0.88218,0.83195,0.91949,0.42273,1.72983,1.02336,1.73187,0.00192264,0.00192264,0.00192264
21,1873.11,1.45077,1.14027,1.52718,0.90331,0.90278,0.94973,0.49166,1.60881,0.88908,1.68729,0.00191441,0.00191441,0.00191441
22,1966.05,1.44929,1.1932,1.56165,0.89967,0.85516,0.92109,0.44207,1.6434,1.03021,1.73707,0.00190578,0.00190578,0.00190578
23,2049.48,1.43951,1.15874,1.53902,0.87007,0.86365,0.92453,0.45588,1.63064,1.11301,1.6541,0.00189675,0.00189675,0.00189675
24,2133.84,1.46958,1.16572,1.55771,0.92087,0.87742,0.93006,0.44944,1.71539,0.97777,1.70598,0.00188734,0.00188734,0.00188734
25,2222.71,1.42467,1.15694,1.53252,0.86666,0.86407,0.88211,0.41174,1.79013,1.10463,1.82522,0.00187754,0.00187754,0.00187754
26,2311.3,1.48451,1.20461,1.58244,0.91635,0.89881,0.95643,0.46813,1.68035,0.94786,1.70417,0.00186737,0.00186737,0.00186737
27,2401.28,1.4395,1.16255,1.53803,0.9262,0.90675,0.95866,0.51161,1.57475,0.81714,1.59986,0.00185681,0.00185681,0.00185681
28,2490.34,1.40093,1.10711,1.50601,0.76942,0.80159,0.82038,0.33444,1.97817,1.17094,1.9449,0.00184588,0.00184588,0.00184588
29,2572.46,1.40695,1.12764,1.5004,0.90433,0.88153,0.94249,0.50564,1.48952,0.82637,1.55196,0.00183459,0.00183459,0.00183459
30,2659.84,1.43377,1.13911,1.52292,0.93354,0.91976,0.96694,0.56072,1.39803,0.78169,1.48036,0.00182294,0.00182294,0.00182294
31,2744.99,1.38697,1.10207,1.49057,0.88702,0.88794,0.94767,0.53788,1.42263,0.86175,1.48424,0.00181093,0.00181093,0.00181093
32,2831.26,1.37147,1.06361,1.4806,0.92459,0.90278,0.95874,0.52261,1.49667,0.82176,1.56308,0.00179856,0.00179856,0.00179856
33,2920,1.43947,1.06563,1.51598,0.92239,0.89087,0.94158,0.46852,1.64622,0.91959,1.66346,0.00178586,0.00178586,0.00178586
34,3007.71,1.35776,1.10101,1.49522,0.90124,0.91667,0.94227,0.52149,1.50278,0.81245,1.56959,0.00177281,0.00177281,0.00177281
35,3091.19,1.38757,1.08931,1.49594,0.95017,0.90079,0.96695,0.58601,1.3253,0.73145,1.41803,0.00175943,0.00175943,0.00175943
36,3172.48,1.40948,1.09044,1.50618,0.89558,0.90187,0.95142,0.56525,1.35434,0.7657,1.46986,0.00174571,0.00174571,0.00174571
37,3257.11,1.40317,1.12385,1.51151,0.88178,0.89484,0.94497,0.53125,1.4399,0.89267,1.51938,0.00173168,0.00173168,0.00173168
38,3342.24,1.36616,1.05625,1.48449,0.93221,0.92771,0.97044,0.57304,1.36491,0.76585,1.44146,0.00171733,0.00171733,0.00171733
39,3429.87,1.37765,1.06036,1.49539,0.9311,0.92659,0.96477,0.5452,1.46053,0.74453,1.50601,0.00170267,0.00170267,0.00170267
40,3517.04,1.37834,1.05121,1.50316,0.92613,0.94643,0.97254,0.52061,1.5645,0.72395,1.58138,0.0016877,0.0016877,0.0016877
41,3602.8,1.37601,1.03334,1.47713,0.93866,0.94125,0.96862,0.55285,1.41517,0.6894,1.47685,0.00167244,0.00167244,0.00167244
42,3693.44,1.33888,0.99275,1.45185,0.95388,0.96032,0.98736,0.61506,1.24698,0.65616,1.3585,0.00165689,0.00165689,0.00165689
43,3779.82,1.34168,1.03928,1.4613,0.92363,0.91181,0.96715,0.5801,1.3425,0.77463,1.43816,0.00164105,0.00164105,0.00164105
44,3868.99,1.3482,1.00277,1.47286,0.9334,0.94246,0.9616,0.54768,1.41525,0.71975,1.48478,0.00162494,0.00162494,0.00162494
45,3955.96,1.3632,1.02314,1.47867,0.88233,0.8927,0.9191,0.53644,1.43147,0.81876,1.55801,0.00160855,0.00160855,0.00160855
46,4046.61,1.31741,1.00053,1.44272,0.94065,0.94344,0.97724,0.59151,1.29801,0.7088,1.39776,0.00159191,0.00159191,0.00159191
47,4137.91,1.31145,0.98452,1.43324,0.94193,0.94048,0.98033,0.58827,1.29888,0.73241,1.41328,0.00157501,0.00157501,0.00157501
48,4224.65,1.30752,0.98124,1.44427,0.936,0.92861,0.97942,0.60211,1.2758,0.70914,1.40377,0.00155786,0.00155786,0.00155786
49,4312.57,1.30009,0.97442,1.45861,0.92206,0.96244,0.98006,0.60593,1.27807,0.64123,1.37944,0.00154047,0.00154047,0.00154047
50,4400.37,1.30781,1.01323,1.44555,0.9202,0.89881,0.96367,0.5968,1.28026,0.7272,1.39705,0.00152285,0.00152285,0.00152285
51,4490.33,1.32936,0.98823,1.46142,0.95354,0.93658,0.98154,0.61665,1.27329,0.63618,1.37289,0.001505,0.001505,0.001505
52,4574.63,1.28732,0.9172,1.42395,0.89665,0.92959,0.95879,0.53314,1.42542,0.78315,1.50603,0.00148694,0.00148694,0.00148694
53,4660.01,1.29765,0.94781,1.43836,0.94308,0.93849,0.97566,0.5779,1.38421,0.67866,1.46082,0.00146866,0.00146866,0.00146866
54,4745.52,1.27477,0.90606,1.41232,0.96456,0.9623,0.98467,0.57587,1.43365,0.64138,1.47927,0.00145019,0.00145019,0.00145019
55,4829.62,1.28469,0.91462,1.41696,0.95834,0.95841,0.98234,0.64586,1.20754,0.59972,1.3249,0.00143152,0.00143152,0.00143152
56,4920.21,1.26955,0.91204,1.40502,0.95747,0.95437,0.98478,0.61446,1.2787,0.64108,1.39313,0.00141267,0.00141267,0.00141267
57,5007.54,1.30774,0.95378,1.43839,0.97221,0.97184,0.99111,0.62376,1.27039,0.57966,1.36797,0.00139364,0.00139364,0.00139364
58,5100.9,1.27496,0.91818,1.4222,0.94544,0.91865,0.9648,0.5804,1.36569,0.6336,1.43469,0.00137444,0.00137444,0.00137444
59,5197.54,1.23064,0.88369,1.38144,0.97406,0.96627,0.98956,0.63715,1.18817,0.58151,1.30532,0.00135509,0.00135509,0.00135509
60,5290.65,1.25976,0.91437,1.4147,0.95723,0.9623,0.98895,0.65644,1.14693,0.55342,1.27425,0.00133558,0.00133558,0.00133558
61,5390.64,1.26179,0.91887,1.40719,0.95613,0.95139,0.98496,0.65203,1.1153,0.6102,1.26876,0.00131593,0.00131593,0.00131593
62,5471.81,1.27286,0.92159,1.41537,0.95086,0.98016,0.98897,0.65186,1.15475,0.56634,1.29783,0.00129614,0.00129614,0.00129614
63,5556.89,1.26209,0.92549,1.42496,0.97246,0.9809,0.99141,0.65142,1.20631,0.56812,1.31667,0.00127623,0.00127623,0.00127623
64,5641.21,1.27086,0.89865,1.40596,0.97229,0.97461,0.99242,0.67434,1.12115,0.53123,1.25931,0.0012562,0.0012562,0.0012562
65,5732.42,1.25513,0.90082,1.41274,0.97428,0.95238,0.98963,0.68145,1.08671,0.52782,1.23803,0.00123607,0.00123607,0.00123607
66,5817.23,1.2152,0.87611,1.37233,0.97399,0.97222,0.99294,0.65701,1.18217,0.56053,1.29438,0.00121583,0.00121583,0.00121583
