epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.812,1.40314,2.06232,1.72178,0.68215,0.62698,0.66122,0.29538,1.50637,2.99047,2.18776,0.00058,0.00058,0.00058
2,246.126,1.45754,1.75075,1.74944,0.26808,0.32143,0.2088,0.0534,2.18323,3.15867,3.44544,0.00116832,0.00116832,0.00116832
3,369.088,1.60914,1.7871,1.84353,0.23187,0.40675,0.19989,0.05519,2.5008,4.74587,3.42553,0.00174476,0.00174476,0.00174476
4,490.949,1.57845,1.64078,1.78707,0.12139,0.17063,0.05525,0.01491,2.85678,7.73381,3.95521,0.0019406,0.0019406,0.0019406
5,612.92,1.61622,1.62688,1.83049,0.16458,0.27778,0.11286,0.0326,2.34038,4.28999,3.12464,0.0019208,0.0019208,0.0019208
6,736.107,1.57127,1.4879,1.78362,0.59378,0.65278,0.59022,0.22766,1.87388,1.9591,2.53449,0.001901,0.001901,0.001901
7,858.501,1.53611,1.43113,1.78726,0.54129,0.45635,0.46596,0.1493,2.33785,2.35366,2.79345,0.0018812,0.0018812,0.0018812
8,979.956,1.55713,1.42114,1.78045,0.69626,0.72817,0.73674,0.29969,1.7774,1.63092,2.35904,0.0018614,0.0018614,0.0018614
9,1102.27,1.52422,1.31066,1.73257,0.69176,0.76389,0.75515,0.3326,1.75616,1.50085,2.26736,0.0018416,0.0018416,0.0018416
10,1224.59,1.56103,1.37857,1.76663,0.75312,0.75794,0.76866,0.32749,1.84959,1.33709,2.4517,0.0018218,0.0018218,0.0018218
11,1347.54,1.5028,1.25901,1.74176,0.76016,0.71429,0.76458,0.3259,1.91925,1.44127,2.46747,0.001802,0.001802,0.001802
12,1469.87,1.49699,1.2578,1.73594,0.59564,0.68452,0.64441,0.25801,1.89012,1.58428,2.43805,0.0017822,0.0017822,0.0017822
13,1592.27,1.44526,1.15949,1.67362,0.65898,0.62103,0.66927,0.28059,1.89544,1.71015,2.36995,0.0017624,0.0017624,0.0017624
14,1715.3,1.4568,1.16276,1.69469,0.81736,0.81689,0.88723,0.39384,1.75278,1.16756,2.18132,0.0017426,0.0017426,0.0017426
15,1836.43,1.46541,1.15319,1.70491,0.82602,0.80159,0.86926,0.41422,1.66694,1.17329,2.11402,0.0017228,0.0017228,0.0017228
16,1956.95,1.45073,1.12657,1.67084,0.79969,0.79762,0.82442,0.40592,1.69945,1.17093,2.2004,0.001703,0.001703,0.001703
17,2077.31,1.42321,1.14701,1.6746,0.81209,0.84034,0.88383,0.43895,1.61273,1.0965,2.12558,0.0016832,0.0016832,0.0016832
18,2198.36,1.41423,1.0748,1.64501,0.8106,0.74603,0.83628,0.42153,1.56491,1.26104,2.03007,0.0016634,0.0016634,0.0016634
19,2319.42,1.39559,1.0961,1.64339,0.85078,0.87302,0.9147,0.47299,1.54268,0.96439,2.06321,0.0016436,0.0016436,0.0016436
20,2440.45,1.37256,1.07772,1.63398,0.88816,0.87302,0.93745,0.54122,1.35506,0.93679,1.85806,0.0016238,0.0016238,0.0016238
21,2561.57,1.33776,1.0296,1.57049,0.89088,0.88095,0.93982,0.52148,1.4495,0.94692,1.8983,0.001604,0.001604,0.001604
22,2683.37,1.34686,1.05075,1.58635,0.80644,0.83333,0.88194,0.45595,1.51133,1.27455,1.95691,0.0015842,0.0015842,0.0015842
23,2803.86,1.33914,1.02452,1.59738,0.89674,0.84434,0.92796,0.51579,1.43093,0.97641,1.90972,0.0015644,0.0015644,0.0015644
24,2924.24,1.3471,1.02259,1.60474,0.93665,0.88006,0.94123,0.49786,1.51629,0.90288,2.01381,0.0015446,0.0015446,0.0015446
25,3044.57,1.33278,0.98397,1.57322,0.92126,0.85888,0.94311,0.52095,1.47163,0.8706,1.92024,0.0015248,0.0015248,0.0015248
26,3166.2,1.30421,1.0095,1.58319,0.75612,0.75595,0.7302,0.30732,1.88687,1.26336,2.56274,0.001505,0.001505,0.001505
27,3288.31,1.31865,0.99168,1.59582,0.93578,0.92522,0.96382,0.55861,1.36221,0.84943,1.8207,0.0014852,0.0014852,0.0014852
28,3410.7,1.33565,0.95446,1.57279,0.89044,0.88889,0.93981,0.54348,1.3699,0.83173,1.8568,0.0014654,0.0014654,0.0014654
